Site Name,Site Address,Town,State,Postcode,24 Hours,98 Octane,Diesel,LPG,E10,Shell Low Aromatic,95 Octane,98 Octane,Premium Diesel,Diesel E10,Adblue At the  Pump,"Adblue 
10L",Truckstop,Carwash,Toilets,Latitude,Longitude
COLES EXPRESS LEPPINGTON,1443 CAMDEN VALLEY WAY,LEPPINGTON,NSW,2171,N,Y,Y,N,Y,N,Y,N,N,N,N,Y,N,N,Y,-33.95040496,150.8436845
COLES EXPRESS LIDCOMBE,18 PARRAMATTA ROAD,LIDCOMBE,NSW,2141,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,N,Y,N,Y,-33.85407227,151.059232
COLES EXPRESS LISMORE BALLINA RD,426 BALLINA ROAD,LISMORE,NSW,2480,N,Y,Y,N,N,N,Y,Y,N,N,N,N,N,N,Y,-28.81072049,153.3054117
COLES EXPRESS LISMORE DAWSON ST,100 DAWSON & MAGELLAN STS,LISMORE,NSW,2480,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,-28.81089481,153.2799905
COLES EXPRESS LITHGOW,CNR GREAT WESTERN HWY & RYDAL ROAD,LITHGOW,NSW,2790,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,Y,N,N,-33.44728628,150.0319806
COLES EXPRESS LIVERPOOL,338-340 HUME HIGHWAY,LIVERPOOL,NSW,2170,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,N,Y,N,Y,-33.93155983,150.9177296
COLES EXPRESS MAITLAND,CNR HIGH ST & SMITH ST,MAITLAND,NSW,2320,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,Y,-32.73885919,151.5621663
COLES EXPRESS MAROUBRA,959-961 ANZAC PARADE,MAROUBRA,NSW,2035,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,-33.94996558,151.2409555
COLES EXPRESS MARSFIELD,CNR EPPING RD & CULLODEN RD,MARSFIELD,NSW,2122,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,Y,N,-33.77523501,151.1046145
COLES EXPRESS MAYFIELD,63-69 MAUD ST (CNR MILLER ST),MAYFIELD,NSW,2304,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,Y,-32.89394874,151.7221799
COLES EXPRESS MEREWETHER,CNR GLEBE RD & LLEWELLYN ST,MEREWETHER,NSW,2291,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,-32.93797888,151.7497465
COLES EXPRESS MERRYLANDS,398 MERRYLANDS RD (CNR FOWLER RD),MERRYLANDS,NSW,2160,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,Y,Y,-33.83398618,150.9771435
COLES EXPRESS MINTO,73 PEMBROKE RD (CNR DURHAM ST),MINTO,NSW,2566,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,Y,-34.02358612,150.8504751
COLES EXPRESS MITTAGONG,224-228 OLD HUME HWY,MITTAGONG,NSW,2575,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,-34.44684748,150.4326751
